@relation AutobotDataset-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute enemyDistance numeric
@attribute enemyVelocity numeric
@attribute enemyAngle numeric
@attribute enemyHeading numeric
@attribute myGunToEnemyAngle numeric
@attribute firePower numeric
@attribute hit numeric

@data
0.220691,0,0.174033,0.747953,0.67369,0,0
0.319167,0.375,0.218081,0.902702,0.717979,0,0
0.361699,0.4375,0.196055,0.064827,0.695833,0,1
0.281583,1,0.172042,0.79605,0.671689,0,0
0.151517,1,0.140468,0.651061,0.639942,0,1
0.027973,1,0.241908,0.706129,0.726903,0,1
0.150753,0,0.315149,0.898519,0.815578,0,0
0.260792,0,0.374285,0.039733,0.875038,0,0
0.29192,0.6875,0.407993,0.250944,0.908929,0,0
0.404667,1,0.384798,0.287889,0.885607,0,0
0.4807,1,0.34798,0.142899,0.848589,0,0
0.480717,0.625,0.32228,0.926402,0.822748,0,0
0.371672,1,0.287816,0.963346,0.788095,0,0
0.393148,1,0.238064,0.10456,0.738072,0,0
0.503747,0,0.181662,0.764102,0.681361,0,1
0.658781,0,0.184054,0.619112,0.683766,0,1
0.730069,0.9375,0.187466,0.568226,0.687197,0,1
0.609192,1,0.196706,0.715307,0.696488,0,0
0.51796,1,0.173987,0.860297,0.673644,0,0
0.518335,0.5,0.144366,0.045078,0.643861,0,0
0.355603,0,0.104163,0.209934,0.603439,0,0
0.016785,0.5,0.103042,0.92373,0.602311,0,1
0.209375,0,0.081591,0.064944,0.580743,0,0
0.091019,1,0.813331,0.756434,0.309054,0,1
0.312932,1,0.788765,0.901424,0.284353,0,0
0.384641,1,0.835148,0.042638,0.330989,0,1
0.493786,0.125,0.830258,0.254546,0.326073,0,0
0.515786,1,0.825867,0.494337,0.321658,0,0
0.415473,1,0.803887,0.349347,0.299558,0,0
0.29297,1,0.828846,0.204357,0.324653,0,0
0.298227,1,0.901418,0.059367,0.397622,0,0
0.392825,0.4375,0.93146,0.08725,0.427828,0,0
0.505672,0,0.911512,0.290794,0.407771,0,0
0.443915,1,0.890237,0.50549,0.38638,0,0
0.391397,1,0.834811,0.65048,0.330651,0,0
0.49834,1,0.805681,0.700669,0.301361,0,1
0.577156,0.0625,0.80468,0.482487,0.300355,0,0
0.596938,1,0.811068,0.260123,0.306778,0,1
0.521144,1,0.814252,0.366077,0.309979,0,0
0.489477,1,0.786957,0.511067,0.282535,0,0
0.735969,1,0.756117,0.8122,0.251526,0,0
0.799417,0,0.754136,0.971828,0.249535,0,0
0.738358,0,0.737307,0.826838,0.232614,0,0
0.601829,0,0.735259,0.681848,0.230555,0,0
0.518856,0,0.763669,0.536858,0.25912,0,0
0.43322,0,0.835827,0.739705,0.331672,0,1
0.515706,0,0.802635,0.594715,0.298298,0,0
0.297848,0,0.843554,0.884695,0.339441,0,0
0.222303,0.375,0.831513,0.038455,0.327335,0,0
0.232434,1,0.927967,0.221087,0.424316,0,0
0.307939,1,0.001343,0.076097,0.500057,0,0
0.444754,1,0.00035,0.934883,0.499057,0,0
0.537412,1,0.972619,0.789894,0.469213,0,0
0.605088,1,0.941488,0.845659,0.437911,0,0
0.741062,1,0.938094,0.990649,0.434499,0,0
0.759196,0,0.929877,0.207146,0.426236,0,0
0.761484,0.8125,0.919497,0.431601,0.4158,0,1
0.603961,1,0.90373,0.405113,0.399946,0,0
0.442636,1,0.911853,0.260123,0.408114,0,0
0.443542,1,0.95601,0.115133,0.452513,0,0
0.56557,1,0.974677,0.014755,0.471282,0,0
0.601587,0.0625,0.97218,0.232937,0.46877,0,0
0.467298,1,0.940817,0.594715,0.437236,0,0
0.594843,0.875,0.958954,0.449028,0.455472,0,0
0.468982,1,0.898799,0.739705,0.394988,0,0
0.338763,1,0.79975,0.321465,0.295398,0,1
0.509687,1,0.860239,0.611444,0.356218,0,0
0.195499,1,0.80867,0.310312,0.304367,0,1
0.460124,1,0.822272,0.466455,0.318043,0,0
0.140492,1,0.638231,0.455301,0.132996,0,0
0.256347,0.4375,0.597057,0.617021,0.091597,0,0
0.265423,0.625,0.581758,0.868662,0.076214,0,0
0.242557,1,0.62224,0.94046,0.116918,0,0
0.319835,1,0.667771,0.79547,0.162697,0,1
0.452152,1,0.680607,0.65048,0.175604,0,0
0.564094,1,0.658096,0.50549,0.152969,0,0
0.569546,0.0625,0.645449,0.701366,0.140254,0,0
0.48951,0.5,0.618131,0.848447,0.112786,0,0
0.161902,1,0.120839,0.365734,0.620206,0,0
0.31949,1,0.193782,0.220744,0.693547,0,0
0.451098,1,0.179974,0.075754,0.679664,0,0
0.534564,1,0.147055,0.019989,0.646565,0,0
0.666087,1,0.137781,0.164978,0.63724,0,0
0.685234,1,0.140634,0.588098,0.640108,0,1
0.697121,0,0.134197,0.385252,0.633637,0,0
0.547391,1,0.139989,0.728209,0.639461,0,1
0.403184,1,0.131901,0.583219,0.631328,0,0
0.393667,1,0.207666,0.382463,0.707507,0,0
0.536693,1,0.232683,0.237473,0.732661,0,0
0.665794,1,0.243803,0.360157,0.743842,0,0
0.690864,0.625,0.257319,0.58043,0.757431,0,1
0.547015,1,0.266069,0.761668,0.76623,0,0
0.375597,1,0.23901,0.906658,0.739022,0,0
0.252445,1,0.132766,0.711479,0.632198,0,1
0.356211,1,0.178467,0.867622,0.678149,0,0
0.129455,1,0.187834,0.566489,0.687566,0,0
0.25517,1,0.41921,0.67802,0.920207,0,0
0.221061,1,0.343443,0.53303,0.844026,0,0
0.214708,1,0.492188,0.82301,0.993585,0,0
0.199453,1,0.525769,0.968,0.019919,0,1
0.172645,1,0.473267,0.109213,0.974561,0,0
0.243923,1,0.390065,0.159402,0.893725,0,0
0.13473,1,0.169995,0.873198,0.669631,0,0
0.098521,1,0.021771,0.728209,0.520596,0,0
0.225695,1,0.314078,0.014412,0.814501,0,0
0.155493,0.4375,0.922076,0.889928,0.418392,0,1
0.201103,0,0.814377,0.089695,0.310105,0,0
0.325256,0,0.765046,0.22632,0.260505,0,0
0.353948,1,0.733701,0.463323,0.228988,0,0
0.223594,1,0.633095,0.209591,0.127832,0,1
0.324186,1,0.679106,0.354581,0.174094,0,0
0.09947,1,0.715298,0.064601,0.210484,0,0
0.171346,1,0.883994,0.031142,0.380103,0,0
0.26872,1,0.966465,0.176132,0.463025,0,0
0.265165,1,0.0333,0.321121,0.532188,0,0
0.09144,1,0.181542,0.611101,0.68124,0,1
0.197462,1,0.101068,0.466111,0.600326,0,0
0.141641,1,0.491632,0.560912,0.993026,0,1
0.061291,1,0.354729,0.705902,0.855374,0,0
0.278325,1,0.487514,0.415923,0.988885,0,0
0.37324,1,0.445526,0.270933,0.946668,0,0
0.451151,1,0.40579,0.326698,0.906714,0,0
0.569848,0.4375,0.403572,0.488418,0.904484,0,0
0.488636,0,0.367556,0.691961,0.868272,0,0
0.376941,1,0.350716,0.889928,0.851339,0,1
0.505978,0.8125,0.354421,0.916417,0.855065,0,0
0.229752,1,0.394986,0.744938,0.895851,0,0
0.243544,1,0.48217,0.599948,0.983512,0,0
0.378209,1,0.495967,0.499571,0.997385,0,0
0.445792,0.125,0.485823,0.71357,0.987185,0,0
0.501227,0.75,0.442365,0.919205,0.94349,0,0
0.455001,1,0.406604,0.075754,0.907533,0,0
0.470322,1,0.364484,0.220744,0.865183,0,0
0.500302,1,0.331813,0.092484,0.832333,0,0
0.344074,1,0.266672,0.80628,0.766836,0,1
0.459743,1,0.292561,0.95127,0.792866,0,0
0.212546,1,0.241546,0.795127,0.741573,0,0
0.100479,1,0.177765,0.08133,0.677443,0,1
0.002085,0.6875,0.235738,0.362248,0.735733,0,1
0.107389,1,0.210629,0.940117,0.710487,0,0
0.056469,1,0.406389,0.421499,0.907317,0,1
0.151496,1,0.365981,0.276509,0.866688,0,0
0.238416,1,0.268623,0.131519,0.768798,0,0
0.295004,1,0.205087,0.990306,0.704914,0,1
0.251764,0,0.172285,0.184496,0.671932,0,0
0.21367,0,0.053945,0.329486,0.552945,0,0
0.246707,1,0.016712,0.534424,0.51551,0,0
0.214745,1,0.954986,0.679414,0.451482,0,0
0.301889,1,0.883516,0.605525,0.395514,0,0
0.171126,1,0.805788,0.315545,0.301469,0,1
0.24714,1,0.829939,0.460535,0.325752,0,0
0.14571,1,0.86683,0.304392,0.362845,0,1
0.252104,0.71875,0.63749,0.849847,0.132251,0,0
0.133741,1,0.670678,0.605525,0.281516,0,0
0.260033,1,0.69034,0.945693,0.18539,0,0
0.34145,1,0.740508,0.800704,0.235832,0,0
0.385336,1,0.735315,0.655714,0.230611,0,0
0.347365,1,0.679537,0.510724,0.174528,0,0
0.259861,0.125,0.611757,0.657805,0.106378,0,0
0.212502,0,0.455352,0.809068,0.956547,0,0
0.114014,1,0.616206,0.964838,0.110851,0,0
0.071551,1,0.636688,0.819848,0.131445,0,0
0.165382,1,0.63752,0.674858,0.132281,0,1
0.304488,1,0.645132,0.708317,0.139935,0,0
0.372864,0,0.586897,0.92859,0.081381,0,0
0.564733,0.75,0.562709,0.285894,0.057061,0,0
0.504391,0,0.565439,0.069804,0.059806,0,0
0.59431,1,0.53021,0.290077,0.024385,0,0
0.550377,1,0.497064,0.145087,0.998488,0,0
0.059512,1,0.541351,0.022403,0.035586,0,1
0.430258,1,0.477682,0.000097,0.979,0,0
0.242147,1,0.498413,0.88119,0.999844,0,0
0.02482,0,0.629083,0.214794,0.123798,0,0
0.114985,0,0.791976,0.359783,0.287581,0,1
0.103164,1,0.863765,0.602363,0.359763,0,1
0.121025,0.6875,0.956586,0.383484,0.453092,0,0
0.184421,1,0.089106,0.207126,0.588299,0,0
0.331051,1,0.100111,0.161816,0.599365,0,0
0.43058,1,0.134959,0.306806,0.634402,0,0
0.450874,1,0.178845,0.451796,0.678529,0,0
0.385423,1,0.219759,0.596786,0.719667,0,0
0.191746,0.4375,0.824767,0.607939,0.320552,0,0
0.257187,1,0.240446,0.741776,0.740466,0,0
0.229772,0.8125,0.859632,0.368148,0.355607,0,1
0.046363,1,0.989353,0.769659,0.657813,0,0
0.120102,1,0.84129,0.368148,0.337165,0,1
0.021791,1,0.633805,0.468526,0.272012,0,0
0.119132,0.3125,0.643465,0.657431,0.138258,0,1
0.069816,0.5625,0.684095,0.850519,0.179111,0,1
0.183834,1,0.826537,0.044012,0.322331,0,0
0.233594,1,0.886537,0.050286,0.382659,0,0
0.356655,1,0.914452,0.909072,0.410727,0,0
0.478991,1,0.893477,0.764082,0.389638,0,0
0.529403,1,0.856929,0.619092,0.35289,0,0
0.612185,1,0.828962,0.764082,0.32477,0,0
0.584322,0,0.802679,0.984355,0.298343,0,0
0.579063,0.6875,0.774373,0.166696,0.269882,0,0
0.451929,1,0.757036,0.343054,0.252451,0,0
0.325787,1,0.740548,0.256618,0.235873,0,0
0.196073,1,0.762723,0.111628,0.258168,0,0
0.140766,1,0.837119,0.959261,0.332972,0,0
0.167215,1,0.843765,0.925802,0.339654,0,0
0.14301,1,0.879233,0.067015,0.375316,0,0
0.063387,1,0,0.212005,0.498706,0,0
0.07446,1,0.284581,0.356995,0.784843,0,0
0.246336,1,0.416977,0.501985,0.917962,0,0
0.344309,1,0.465811,0.596786,0.967063,0,1
0.47583,1,0.47897,0.451796,0.980294,0,0
0.589014,1,0.457894,0.306806,0.959104,0,0
0.620474,1,0.425525,0.161816,0.926558,0,0
0.621988,1,0.392573,0.217582,0.893425,0,0
0.737842,1,0.376665,0.362572,0.87743,0,0
0.677275,0.6875,0.366198,0.619092,0.866906,0,0
0.564295,1,0.372956,0.79545,0.873701,0,0
0.429574,1,0.384531,0.803118,0.885339,0,0
0.326134,1,0.401275,0.658128,0.902175,0,0
0.339512,1,0.408812,0.513138,0.909753,0,1
0.410303,0.3125,0.380506,0.391849,0.881292,0,0
0.390186,0,0.306148,0.568206,0.806528,0,0
0.578905,0,0.257277,0.713196,0.75739,0,0
0.779088,0,0.259863,0.858186,0.75999,0,0
0.835695,0.9375,0.25513,0.08723,0.755231,0,0
0.884842,1,0.224193,0.005673,0.724125,0,0
0.817541,1,0.181519,0.86446,0.681218,0,0
0.693418,1,0.152797,0.71947,0.652339,0,0
0.470437,1,0.150833,0.663705,0.650364,0,0
0.20642,1,0.020177,0.942531,0.561556,0,0
0.251145,1,0.972552,0.083745,0.469145,0,0
0.242774,1,0.972689,0.228735,0.469282,0,0
0.127549,1,0.960118,0.368148,0.456643,0,0
0.031438,1,0.925591,0.223158,0.421927,0,1
0.073578,1,0.061599,0.078168,0.560642,0,1
0.081843,0.25,0.11311,0.882584,0.612435,0,0
0.103617,0,0.26587,0.012644,0.76603,0,0
0.152594,0,0.294723,0.157634,0.79504,0,0
0.139722,0,0.262912,0.302624,0.763056,0,0
0.217308,0.6875,0.217412,0.515229,0.717306,0,0
0.289923,1,0.265668,0.552174,0.765827,0,0
0.475322,1,0.300339,0.407184,0.800687,0,0
0.721244,1,0.3005,0.262194,0.800849,0,0
0.842892,1,0.282982,0.117204,0.783235,0,0
0.969102,0.5,0.269812,0.262194,0.769993,0,0
0.935987,0,0.25359,0.482467,0.753682,0,0
0.96389,0.5,0.220502,0.619092,0.720413,0,0
