@relation Autobot.arff

@attribute enemyDistance numeric
@attribute enemyVelocity numeric
@attribute enemyDirectionRelativeToGun numeric
@attribute notHit numeric
@attribute hit numeric

@data
0.534119,0.5,0.749502,1,0
0.425225,-0.5,-0.037653,1,0
0.405715,-0.375,-0.185931,1,0
0.627106,-0.75,-0.642892,1,0
0.284512,0.5,0.475167,1,0
0.318887,-0.625,-0.864978,0,1
0.317593,0.5,0.948972,1,0
0.425605,-0.75,-0.041975,1,0
0.659292,-0.75,-0.612039,1,0
0.52903,0.5,0.067245,1,0
0.359211,-0.5,-0.799449,1,0
0.399538,-0.75,-0.272597,1,0
0.416905,0.5,-0.641729,1,0
0.429496,0.5,-0.866348,1,0
0.258717,-0.75,-0.853453,1,0
0.399088,-0.25,0.683093,0,1
0.076423,0.5,0.722604,0,1
0.242703,0.5,-0.992728,0,1
0.425054,0.5,0.830404,1,0
0.084327,-0.75,-0.987461,1,0
0.437766,-0.25,0.905568,1,0
0.512514,0.5,0.970209,1,0
0.413817,0.5,0.119673,1,0
0.655353,-0.5,0.902914,0,1
0.389895,-0.75,-0.991538,1,0
0.333124,0.5,-0.482427,1,0
0.550408,0.5,-0.567302,1,0
0.472251,0.125,0.953821,1,0
0.465523,0.75,-0.49371,0,1
0.206758,0.5,-0.867973,0,1
0.438607,-0.75,0.973703,1,0
0.65428,0.5,-0.990435,1,0
0.526006,0.5,-0.496945,1,0
0.404831,0.5,-0.106969,1,0
0.500872,-0.75,-0.577075,1,0
0.625943,-0.75,-0.787859,1,0
0.499584,0.375,-0.797988,0,1
0.293167,-0.75,0.022228,1,0
0.049146,0,0.910155,0,1
0.235626,0.5,-0.494204,1,0
0.076185,0.5,0.979793,0,1
0.511834,-0.5,0.411672,1,0
0.566886,-0,0.90397,1,0
0.554312,0.5,0.74063,1,0
0.408922,0.5,0.017104,1,0
0.303257,-0.75,0.004888,1,0
0.439449,-0.75,-0.981795,1,0
0.347487,-0.75,-0.077923,1,0
0.426025,0.5,-0.936894,0,1
0.55129,-0.75,-0.998218,0,1
0.579027,0.5,-0.553398,1,0
0.181111,0.5,0.52217,1,0
0.465341,0.125,-0.854537,0,1
0.221294,-0.75,-0.478519,1,0
0.375162,0.5,-0.557871,1,0
0.373502,-0.25,0.974098,1,0
0.237764,0.5,-0.856504,1,0
0.04786,0.5,0.999611,0,1
0.41406,0,0.704448,1,0
0.483516,-0.75,0.853535,0,1
0.392886,-0.75,0.952414,0,1
0.474776,-0.625,-0.062352,1,0
0.271925,0.5,0.329609,1,0
0.621207,-0.75,-0.505828,0,1
0.301859,-0.75,-0.432811,1,0
0.280558,-0.25,0.831051,1,0
0.522305,0.5,-0.875067,1,0
0.295575,0.5,-0.285387,1,0
0.238151,0.5,-0.841823,1,0
0.214574,0.5,0.975894,1,0
0.146683,0.75,-0.960433,0,1
0.186032,0.5,0.985777,0,1
0.258549,0.5,0.469017,1,0
0.493648,0,-0.260729,1,0
0.469974,0.5,-0.993098,1,0
0.170356,0.5,0.191691,1,0
0.099814,0.5,0.164213,0,1
0.343949,0.5,-0.375924,0,1
0.263071,0.5,0.915539,1,0
0.060734,-0.75,-0.955211,1,0
0.251916,0.5,0.797551,1,0
0.408959,-0.75,-0.947474,0,1
0.380334,0.5,0.969296,1,0
0.551298,0.5,-0.631452,0,1
0.426952,-0.75,-0.465489,0,1
0.194702,-0.5,0.999168,0,1
0.253319,0.5,0.584229,1,0
0.381511,-0.75,-0.319562,1,0
0.256252,-0.75,0.99382,0,1
0.388253,-0.75,-0.949323,1,0
0.473945,0.5,0.07829,1,0
0.342717,-0.75,0.979047,0,1
0.44991,-0.75,-0.423871,1,0
0.435913,-0.75,0.900182,1,0
0.178018,-0.5,-0.376951,1,0
0.513515,0.5,0.999998,0,1
0.325479,0.5,0.886547,1,0
0.293888,-0.75,-0.30991,1,0
0.423586,0.5,0.48822,1,0
0.387957,-0.5,0.516566,1,0
0.218297,-0.75,0.990898,0,1
0.290801,0.5,-0.583288,1,0
0.126835,-0.75,0.049927,0,1
0.10131,-0.75,-0.418292,1,0
0.527399,-0.5,0.307743,1,0
0.302464,-0.75,0.714369,0,1
0.548905,-0.75,-0.056118,1,0
0.069972,0.5,0.563968,0,1
0.301596,0.5,0.831051,1,0
0.439733,0.5,0.243246,0,1
0.39695,-0.75,-0.98963,1,0
0.539626,-0.75,-0.843272,1,0
0.161918,0.125,-0.985818,0,1
0.55401,0,-0.865082,0,1
0.285012,-0.375,0.620989,1,0
0.411431,-0.75,0.810222,1,0
0.413642,-0.75,0.228618,1,0
0.249869,0.5,0.411663,1,0
0.336129,-0.125,0.799848,1,0
0.38948,0.5,-0.539724,1,0
0.616386,-0.75,-0.011848,0,1
0.065455,0.5,-0.221966,0,1
0.442376,0.5,-0.797093,1,0
0.354371,0.5,0.087813,0,1
0.377217,0.5,-0.034855,1,0
0.31115,0.5,-0.447003,1,0
0.411036,-0.75,-0.993786,1,0
0.095502,0.375,-0.145032,0,1
0.413433,0.5,0.431677,1,0
0.35659,-0.75,-0.152725,1,0
0.066087,-0.75,-0.953834,0,1
0.418027,-0.75,0.36654,0,1
