@relation AutobotDataset

@attribute enemyDistance numeric
@attribute enemyVelocity numeric
@attribute enemyDirectionRelativeToGun numeric
@attribute notHit numeric
@attribute hit numeric

@data
0.38332,0.625,-0.838586,0,1
0.335384,0.625,0.815868,1,0
0.327363,0.625,0.495002,1,0
0.358028,0.625,-0.3366,1,0
0.39669,0.125,-0.993084,1,0
0.43662,0.625,-0.778588,0,1
0.391676,0.625,0.999383,1,0
0.338673,0.625,0.843435,1,0
0.356054,0.625,-0.465426,1,0
0.409426,0.625,-0.491829,1,0
0.334299,0.625,0.875005,1,0
0.256397,0.625,0.926967,1,0
0.239306,0.625,0.615979,0,1
0.30345,0,-0.732291,1,0
0.31847,0.625,-0.788143,1,0
0.276837,0.625,-0.371989,0,1
0.272621,0.625,0.973748,1,0
0.309249,0.625,-0.03872,0,1
0.375348,0.25,-0.981309,1,0
0.368608,0.625,-0.638497,0,1
0.307031,0.625,0.997986,1,0
0.25901,0.625,0.645753,1,0
0.343508,0,-0.996514,1,0
