@relation AutobotDataset

@attribute enemyDistance numeric
@attribute enemyVelocity numeric
@attribute enemyDirectionRelativeToGun numeric
@attribute notHit numeric
@attribute hit numeric

@data
0.085736,0.625,-0.996694,0,1
0.12828,0.625,0.071582,1,0
0.181369,0.625,-0.814398,1,0
0.153547,0.625,-0.982866,0,1
0.190306,0.625,-0.95329,1,0
0.116132,0.625,0.973294,1,0
0.154419,0.625,0.043068,1,0
0.210185,0.625,-0.901153,1,0
0.186496,0.625,-0.922313,0,1
0.222237,0.625,-0.872889,1,0
0.146571,0.625,0.986063,1,0
0.159012,0.625,0.963235,0,1
0.211069,0.625,-0.695703,1,0
0.225952,0.625,-0.994959,0,1
0.246413,0.625,-0.97757,1,0
0.178573,0.625,0.977431,1,0
0.168475,0.625,0.536676,1,0
0.218935,0.625,-0.50299,1,0
0.261895,0.625,-0.997841,1,0
0.211959,0.625,-0.58431,0,1
0.258547,0.625,-0.37033,1,0
0.181967,0.625,0.795187,1,0
0.211944,0.625,0.663753,0,1
0.262565,0.625,-0.838305,1,0
0.24055,0.625,-0.890728,0,1
0.271044,0.625,-0.834171,1,0
0.18383,0.625,0.958044,1,0
0.172532,0.625,0.401358,1,0
0.222042,0.625,-0.547908,1,0
0.256068,0.625,-0.995057,1,0
0.240475,0.625,-0.995057,0,1
0.192555,0.625,0.999212,1,0
0.196235,0.625,0.428128,1,0
0.226136,0.625,-0.58812,1,0
