@relation AutobotDataset

@attribute enemyDistance numeric
@attribute enemyVelocity numeric
@attribute enemyDirectionRelativeToGun numeric
@attribute notHit numeric
@attribute hit numeric

@data
0.352729,0.625,-0.365499,1,0
0.404249,0.625,-0.996974,1,0
0.429987,0.625,-0.352841,1,0
0.401813,0.625,0.839329,1,0
0.35797,0.625,0.808767,1,0
0.36241,0.625,0.333225,0,1
0.410848,0.625,-0.978276,1,0
0.446312,0.625,-0.507288,1,0
0.430564,0.625,-0.402766,0,1
0.381927,0.625,0.888454,1,0
0.354987,0.625,0.775724,0,1
0.391414,0.625,-0.824939,1,0
0.422298,0.625,-0.49432,1,0
0.394144,0.625,0.800986,1,0
0.350966,0.625,0.841868,1,0
0.354293,0.625,0.782134,0,1
0.401441,0.625,-0.922501,1,0
0.421345,0.625,-0.460386,1,0
0.39321,0.625,0.847389,1,0
0.350386,0.625,0.946525,1,0
0.346676,0.625,0.800921,1,0
0.399081,0.625,-0.952803,1,0
0.43408,0.625,-0.589264,1,0
0.416013,0.625,-0.48419,0,1
0.367579,0.625,0.92559,1,0
0.361773,0.625,0.696421,0,1
0.399401,0.625,-0.877541,1,0
0.412283,0.625,-0.437976,1,0
0.444529,0.625,-0.228245,1,0
0.351414,0.625,0.81799,1,0
0.33644,0.625,0.440755,0,1
0.384536,0.625,-0.868542,1,0
0.420538,0.625,-0.777072,1,0
0.40195,0.625,-0.607483,0,1
0.348422,0.625,0.959905,1,0
0.304356,0.625,0.303934,1,0
0.33933,0.625,-0.731593,1,0
