@relation AutobotDataset

@attribute enemyDistance numeric
@attribute enemyVelocity numeric
@attribute enemyDirectionRelativeToGun numeric
@attribute notHit numeric
@attribute hit numeric

@data
0.554285,0.625,-0.675107,1,0
0.611257,0.625,-0.054505,0,1
0.603986,0.625,0.519752,1,0
0.567866,0.625,0.487107,1,0
0.486373,0.625,-0.535197,1,0
0.422965,0.625,-0.983543,1,0
0.468014,0.625,-0.617081,1,0
0.500362,0.625,0.942474,1,0
0.454558,0.625,0.911604,1,0
0.447464,0.625,-0.272722,1,0
0.481678,0.625,-0.962823,1,0
0.555309,0.625,-0.539393,0,1
0.53345,0.625,0.078157,1,0
0.522556,0.625,0.917299,1,0
0.479099,0.625,-0.066678,1,0
0.50466,0.625,-0.964301,1,0
0.584017,0.625,-0.528023,0,1
0.556971,0.625,-0.247977,1,0
0.555878,0.625,0.937331,1,0
0.501741,0.625,0.084837,1,0
0.490617,0.625,-0.946347,1,0
0.532527,0.625,-0.484357,1,0
0.576596,0.625,0.70509,1,0
0.570746,0.625,0.993816,1,0
0.521686,0.625,0.492364,1,0
0.514241,0.625,-0.093065,0,1
0.560783,0.625,-0.526379,1,0
0.608085,0.625,0.759622,1,0
0.611765,0.625,0.982832,1,0
0.586478,0.625,0.237732,1,0
0.538757,0.625,-0.063821,0,1
0.568254,0.625,-0.640611,1,0
0.63095,0.625,0.044043,0,1
0.619277,0.625,0.608281,1,0
0.541488,0.625,0.664362,1,0
0.452277,0.625,-0.395478,1,0
0.419938,0.625,-0.98872,1,0
0.462742,0.625,-0.599698,1,0
0.471577,0.625,0.824821,1,0
0.428281,0.625,0.983309,1,0
0.402154,0.625,-0.039919,1,0
0.418408,0.625,-0.977532,1,0
0.46951,0.625,-0.573735,1,0
0.497459,0.625,0.893661,1,0
0.470831,0.625,0.979781,1,0
0.416365,0.625,0.237774,1,0
0.418856,0.625,-0.919678,1,0
0.468972,0.625,-0.663238,1,0
0.500488,0.625,0.643786,1,0
0.477641,0.625,0.93456,1,0
0.425149,0.625,0.088095,1,0
0.418873,0.625,-0.849742,1,0
0.466031,0.625,-0.798439,1,0
0.503385,0.625,0.423112,1,0
0.487665,0.625,0.970215,1,0
0.35892,0.625,0.721734,0,1
0.430293,0.625,0.721734,1,0
0.39865,0.625,-0.96836,1,0
