@relation AutobotDataset

@attribute enemyDistance numeric
@attribute enemyVelocity numeric
@attribute enemyDirectionRelativeToGun numeric
@attribute notHit numeric
@attribute hit numeric

@data
0.483435,0.625,-0.83544,1,0
0.504108,0.625,-0.925464,1,0
0.572754,0.625,-0.458511,0,1
0.555714,0.625,0.125878,1,0
0.442981,0.625,0.983341,1,0
0.535998,0.625,0.251684,1,0
0.47198,0.625,-0.600798,1,0
0.494563,0.625,-0.529076,1,0
0.522402,0.625,0.750039,1,0
0.495466,0.625,0.762988,1,0
0.457095,0.625,-0.242255,1,0
0.476507,0.625,-0.987415,1,0
0.521848,0.625,-0.597697,1,0
0.546355,0.625,0.012061,1,0
0.561812,0.625,0.650241,1,0
0.484879,0.625,-0.411493,1,0
0.466044,0.625,-0.976043,1,0
0.510811,0.625,-0.598639,1,0
0.55145,0.625,0.73284,1,0
0.50621,0.625,0.999177,1,0
0.540055,0.625,0.777942,1,0
0.49109,0.625,-0.225259,1,0
0.547075,0.625,-0.625718,1,0
0.593572,0.625,0.543407,1,0
0.592446,0.625,0.896442,1,0
0.485745,0.625,0.286308,0,1
0.544966,0.625,-0.111198,1,0
0.497345,0.625,-0.953898,1,0
0.553991,0.625,-0.414436,0,1
0.548738,0.625,0.062474,1,0
0.494501,0.625,0.393355,1,0
0.473812,0.625,-0.651061,1,0
0.525965,0.625,-0.94957,1,0
0.602524,0.625,-0.430856,0,1
0.576979,0.625,0.028161,1,0
0.543258,0.625,0.046975,0,1
0.576143,0.625,-0.154972,1,0
0.57041,0.625,-0.775605,1,0
0.639755,0.625,-0.155201,0,1
0.622124,0.625,0.442783,1,0
0.547394,0.625,0.562388,1,0
0.558881,0.625,0.091857,1,0
0.498918,0.625,-0.79548,1,0
0.494923,0.625,-0.979714,1,0
0.572481,0.625,-0.563876,0,1
0.542529,0.625,0.489929,1,0
0.41547,0.625,0.013978,0,1
0.476023,0.625,-0.469188,1,0
0.459262,0.625,-0.801901,1,0
0.497514,0.625,0.449761,1,0
0.504722,0.625,0.888533,1,0
0.393079,0.625,0.463396,0,1
0.451319,0.625,-0.099221,1,0
0.429783,0.625,-0.987012,1,0
0.489431,0.625,-0.561387,0,1
0.476204,0.625,0.022631,1,0
0.443202,0.625,0.399506,1,0
0.368505,0.625,-0.537341,1,0
0.364203,0.625,-0.921783,1,0
0.426236,0.625,-0.833034,0,1
0.414725,0.625,-0.682898,1,0
0.386448,0.625,0.95435,1,0
0.320023,0.625,-0.06618,1,0
0.319745,0.625,-0.770552,1,0
0.375253,0.625,-0.20584,1,0
