@relation AutobotDataset

@attribute enemyDistance numeric
@attribute enemyVelocity numeric
@attribute enemyDirectionRelativeToGun numeric
@attribute notHit numeric
@attribute hit numeric

@data
0.559333,0,-0.384635,0,1
0.52549,0.625,0.828673,1,0
0.492712,0.625,0.169516,0,1
0.518447,0,-0.981024,1,0
0.567857,0.625,-0.188297,1,0
0.568032,0.625,0.939636,1,0
0.514632,0.625,0.388466,1,0
0.470894,0.625,-0.104043,0,1
0.506304,0.625,-0.990039,1,0
0.498987,0.625,-0.441589,1,0
0.437279,0.625,-0.441589,0,1
0.38728,0.625,0.697958,1,0
0.415659,0.625,0.066062,0,1
0.490457,0.625,-0.984263,1,0
0.490864,0.625,-0.21219,1,0
0.446478,0.625,0.993118,1,0
0.384558,0.625,-0.120733,1,0
0.385333,0.625,-0.225268,0,1
0.426358,0,-0.998715,1,0
0.434432,0.625,-0.727577,0,1
0.388583,0.625,0.998923,1,0
0.346284,0.625,0.758047,1,0
0.369342,0.625,-0.523287,1,0
0.41297,0.625,-0.273372,1,0
0.358269,0.625,0.963027,1,0
0.339719,0.625,0.792954,1,0
0.365606,0.625,-0.527397,1,0
0.422351,0.625,-0.247177,1,0
