@relation AutobotDataset

@attribute enemyDistance numeric
@attribute enemyVelocity numeric
@attribute enemyDirectionRelativeToGun numeric
@attribute notHit numeric
@attribute hit numeric

@data
0.421402,0.625,-0.66834,1,0
0.398039,0.625,-0.346418,0,1
0.328293,0.625,0.916125,1,0
0.344734,0.625,0.93633,1,0
0.37414,0.625,-0.7635,1,0
0.411951,0.625,-0.886156,1,0
0.397823,0.625,-0.667036,0,1
0.348364,0.625,0.991823,1,0
0.334479,0.625,0.314194,1,0
0.374783,0.625,-0.687323,1,0
0.419449,0.625,-0.93964,1,0
0.416044,0.625,-0.758704,0,1
0.33715,0.625,0.809358,1,0
0.368178,0.625,0.998402,1,0
0.376709,0.625,-0.639562,1,0
0.425275,0.625,-0.961527,1,0
0.430375,0.625,-0.805299,0,1
0.38657,0.625,0.984404,1,0
0.342188,0.625,0.637969,1,0
0.364482,0.625,-0.467896,1,0
0.415816,0.625,-0.998899,1,0
0.431417,0.625,-0.319352,1,0
0.39452,0.625,0.863249,1,0
0.344601,0.625,0.784609,1,0
0.354316,0.625,-0.278904,1,0
0.40587,0.625,-0.96025,1,0
0.431327,0.625,-0.44919,1,0
0.402867,0.625,0.714612,1,0
0.350042,0.625,0.898429,1,0
0.346257,0.625,0.397958,0,1
0.395308,0.625,-0.805191,1,0
0.429534,0.625,-0.695727,1,0
0.412208,0.625,-0.496419,0,1
0.358092,0.625,0.977688,1,0
0.333479,0.625,0.513152,0,1
0.376494,0.625,-0.617791,1,0
0.418912,0.625,-0.826062,1,0
0.413546,0.625,-0.663033,0,1
0.363713,0.625,0.999633,1,0
0.33487,0.625,0.399076,1,0
0.371277,0.625,-0.451634,1,0
0.418264,0.625,-0.969957,1,0
0.419593,0.625,-0.769584,0,1
0.373856,0.625,0.944909,1,0
0.320164,0.625,0.740504,1,0
0.31448,0.625,-0.044146,1,0
0.36606,0.625,-0.90174,1,0
0.384012,0.625,-0.629873,1,0
0.349462,0.625,0.631461,1,0
0.313447,0.625,0.93616,1,0
0.325967,0.625,0.336829,0,1
0.376664,0.625,-0.759254,1,0
0.429196,0.625,-0.589386,1,0
0.414886,0.625,0.561148,1,0
0.370034,0.625,0.927937,1,0
0.371672,0.625,0.624614,0,1
0.416686,0.625,-0.78927,1,0
0.477958,0.625,0.009863,1,0
0.440239,0.625,0.930167,1,0
0.407804,0.625,0.615624,1,0
0.420548,0.625,-0.582958,1,0
0.471607,0.625,-0.992897,1,0
0.51086,0.625,0.596059,1,0
0.463669,0.625,0.980199,1,0
0.446335,0.625,0.036765,1,0
0.474851,0.625,-0.83281,1,0
0.525771,0.625,-0.734424,1,0
