@relation Autobot.arff

@attribute enemyDistance numeric
@attribute enemyVelocity numeric
@attribute enemyDirectionRelativeToGun numeric
@attribute notHit numeric
@attribute hit numeric

@data
0.508585,0.5,-0.446255,1,0
0.125397,-0.5,-0.362065,1,0
0.471981,-0.75,-0.998169,1,0
0.535228,-0.625,0.690819,1,0
0.538521,0.5,-0.809126,1,0
0.686626,0,0.915421,1,0
0.538352,-0.75,0.919634,1,0
0.446814,-0.75,-0.989811,0,1
0.289252,0.5,0.817934,1,0
0.438108,-0.75,0.562553,1,0
0.241094,0.5,0.279963,1,0
0.154502,0.75,-0.914003,0,1
0.323692,0.5,-0.331419,1,0
0.216094,0.5,0.837801,1,0
0.172953,0.75,-0.221966,1,0
0.382909,-0.75,0.967043,1,0
0.33847,0.75,-0.997364,0,1
0.346376,-0.75,-0.969105,1,0
0.367335,0.5,-0.993474,0,1
0.436738,-0.25,0.207126,1,0
0.259392,-0.75,-0.686511,1,0
0.321255,-0.75,-0.56572,1,0
0.071759,0.5,-0.994448,0,1
0.419147,0.5,-0.966658,1,0
0.268648,0.5,0.976561,0,1
0.409767,0.75,0.998941,1,0
0.064318,0.5,-0.999709,0,1
0.219507,-0.5,0.503163,1,0
0.286177,-0.75,-0.940248,1,0
0.308773,-0,0.034082,1,0
0.05161,0.5,-0.608048,0,1
0.283796,-0.75,0.060257,1,0
0.354619,0.5,0.845874,0,1
0.429346,0.5,0.994728,1,0
0.270756,-0.5,-0.690553,1,0
0.064135,-0.75,-0.856686,1,0
0.639944,0.5,-0.408362,1,0
0.19905,0.5,0.998878,0,1
0.313537,0.5,-0.548836,0,1
0.672702,0.125,-0.572059,1,0
0.326122,-0.375,0.451427,1,0
0.412573,-0.75,0.489503,1,0
0.344273,-0.75,0.525074,1,0
0.432879,0.5,0.678164,0,1
0.546121,-0.125,0.609284,1,0
0.190531,0.5,-0.990478,0,1
0.27056,-0.75,0.958614,1,0
0.118588,0.5,0.422034,1,0
0.190128,-0.125,-0.421603,1,0
0.123801,0.5,-0.616039,1,0
0.530946,0.125,0.437833,0,1
0.290921,0.5,-0.233332,1,0
0.419109,-0.75,-0.916445,1,0
0.128385,0.5,-0.986087,0,1
0.323651,-0.75,0.480742,1,0
